S. No.,Name of the Scheme,Approved Outlay for 2019-20
A,NRHM-RCH Flexible Pool,16885.73
1,RCH Flexible Pool,5253.51
2,Routine Immunisation,
3,Pulse Polio Immunisation,
4,Iodine Deficiency Disorder Control Programme,
5,Health System Strengthening under NRHM **,11632.22
B,National Urban Health Mission - Flexible Pool,950.00
C,Flexible Pool for Communicable Diseases,1928.00
1,National Vector Borne Disease Control Program,1928.00
2,National T.B. Control Programme,
3,National Leprosy Eradication Programme,
4,Integrated Disease Surveillance Programme,
D,"Flexible Pool for Non-Communicable Diseases, Injury & Trauma",717.00
1,National Programme for Control of Blindness,717.00
2,National Mental Health Programme,
3,Health Care for the Elderly,
4,National Programme for Prevention & Control of Deafness,
5,National Tobacco Control Programme,
6,National Oral Health Programme,
7,Assistance to States for Capacity Building,
8,"National Prog. for Prev and Control of Cancer, Diabetes, CVD and Stroke",
9,Other New Initiatives under Non-Communicable Diseases,
E,Forward Linkages to NRHM,0.00
F,Infrastructure Maintenance,6043.41
G,Strengthening of State Drug Regulatory System,206.00
H,Other Health Schemes,25.00
,Pilot Projects,25.00
,(i) Sports Medicine,
,(ii) Deafness,
,(iii) Leptospirosis Control,
,(iv) Control of Human Rabies,
,(v) Medical Rehabilitation,
,(vi) Oral Health,
,(vii) Fluorosis,
I,Janasankhya Sthirtha Kosh (JSK),11.50
J,Prime Minister's Development Plan for Jammu & Kashmir,63.36
,Strengthening of National Programme Management of the NHM,115.00
K,National Health Mission -Total,26945.00
L,Rashtriya Swasthya Bhima Yojana,156.00
M,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),6400.00
N,Human Resources for Health & Medical Education***,4250.00
,Upgradation/Strengthening of Nursing Services  (ANM/GNM Schools),64.00
,Strengthening/Up-gradation of Pharmacy Schools/Colleges,5.00
,Streng. Govt. Med. Colleges (UG Seats) and Central Govt. Health Institutions*,1361.00
,Establishing New Medical Colleges (Upgraded District Hospitals)*,2000.00
,"Setting up of State inst. of paramedical sciences in States and Setting up of College of 
Paramedical Edu. *",20.00
,District Hospitals - Upgradation of State Government Medical Colleges - PG Seats,800.00
O,Tertiary Care Programme/Schemes***,550.00
,National Mental Health Programme,40.00
,Assistance for capacity building for Trauma Centres,100.00
,"National Programme for Control of Cancer, Diabetes, Cardiovascular Diseases and 
Stroke (NPCDCS)",175.00
,National Programme for Health care for Elderly,105.00
,National Programme for Control of Blindness,20.00
,Tobacco Control Programme,20.00
,DDAP,45.00
,Telemedicine,45.00
,GRAND TOTAL (K+L+M+N+O),38301.00
