State/UT,District Name,Number of Habitations
West bengal,Maldah,1051
,Murshidabad,1101
,Nadia,1618
,North Twenty Four Parganas,3860
,Hooghly,1303
,South 24 Parganas,511
,Barddhaman,164
,Howrah,36
,Uttar Dinajpur,7
Assam,Nagaon,1
,Nalbari,918
,Baksa,1437
,Barpeta,527
,Cachar,5
,Darrang,211
,Dhubri,133
,Goalpara,3
,Golaghat,120
,Jorhat,503
,Kokrajhar,7
,Morigaon,2
,Sivasagar,8
,Bongaigaon,7
,Dhemaji,62
,Lakhimpur,1
,Majuli,311
,South Salmura Mancacher,126
Bihar,Buxar,9
,Munger,149
,Begusarai,223
,Khagaria,40
,Patna,3
,Samastipur,41
,Bhagalpur,96
,Dharbhanga,12
,Katihar,1
,Lakhisarai,50
,Vaishali,193
Uttar Pradesh,Ballia,107
,Deoria,8
,Lucknow,1
,Sambhal,1
,Ambedkarnagar,10
,Sonbhadra,1
,Siddhartnagar,5
,Gorakhpur,8
,Kheri,23
,Sant Kabir Nagar,6
,Azamgarh,2
,Bahraich,538
,Balrampur,1
,Basti,7
,Kushi Nagar,19
,Maharajganj,3
,Mau,8
Karnataka,Raichur,1
,Mysore,2
Punjab,Fazilka,3
,Amritsar,235
,Firozepur,28
,Gurdaspur,140
,Hoshiarpur,12
,Kapurthala,13
,Roop Nagar,54
,Ludhiana,3
,Patiala,26
,Tarn Taran,132
,SAS Nagar,2
,Jalandhar,5
,Mansa,1
,Moga,1
,Bhagat Singh Nagar,2
,Sangrur,1
,Fatehgarh Sahib,1
Jharkhand,Pakur,2
,Jamtara,1
,Sahibganj,16
Total,,"16,279"
