State/UT,"Total No. of 
Households 
(Excluding 
institutional 
households)",Tap water - Total,Tap water- treated,Tap water - untreated,Well - Total,Well - Covered,Well - Uncovered,Handpump,Tubewell,Spring,"River, Canal","Tank, Pond, Lake",Any other source,Availability of Drinking Water - Within the premises,Availability of Drinking Water - Near the premises,Availability of Drinking Water - Away
Andhra Pradesh,21024534,69.9,49.0,20.9,6.4,0.5,5.9,13.7,6.9,0.5,0.3,0.3,2.1,43.2,37.3,19.5
Arunanchal Pradesh,261614,65.5,26.4,39.1,5.7,1.4,4.3,10.7,2.4,5.7,5.9,0.9,3.2,41.1,37.4,21.6
Assam,6367295,10.5,9.2,1.3,18.9,1.7,17.2,50.2,9.2,1.3,3.4,4.6,2.0,54.8,26.7,18.5
Bihar,18940629,4.4,3.1,1.3,4.3,0.7,3.7,86.6,3.0,0.0,0.2,0.1,1.4,50.1,37.9,12.0
Chhattisgarh,5622850,20.7,12.3,8.4,11.4,0.8,10.6,58.4,7.2,0.7,0.9,0.2,0.5,19.0,54.5,26.5
Goa,322813,85.4,82.0,3.4,11.1,4.0,7.1,0.1,0.3,1.2,0.3,0.3,1.2,79.7,15.5,4.8
Gujarat,12181718,69.0,39.9,29.2,7.1,2.3,4.8,11.6,9.6,0.1,0.3,0.2,2.0,64.0,23.5,12.4
Haryana,4717954,68.8,55.9,12.9,3.0,0.7,2.3,12.0,12.9,0.0,0.3,0.9,1.9,66.5,21.4,12.1
Himachal Pradesh,1476581,89.5,83.9,5.6,2.9,1.5,1.3,3.6,0.6,0.7,0.3,0.5,1.9,55.5,35.0,9.5
Jammu & Kashmir,2015088,63.9,34.7,29.2,6.5,1.9,4.7,11.4,1.5,6.2,6.7,0.7,3.1,48.2,28.7,23.1
Jharkhand,6181607,12.9,10.0,2.9,36.5,1.9,34.6,43.8,3.5,0.8,1.6,0.2,0.7,23.2,44.9,31.9
Karnataka,13179911,66.1,41.2,24.8,9.0,1.0,8.0,5.5,15.9,0.3,0.8,0.9,1.4,44.5,37.3,18.2
Kerala,7716370,29.3,23.4,6.0,62.0,14.6,47.4,0.5,3.7,1.4,0.2,0.7,2.1,77.7,14.1,8.2
Madhya Pradesh,14967597,23.4,16.4,6.9,20.0,1.1,18.9,47.1,7.6,0.3,0.7,0.4,0.6,23.9,45.6,30.5
Maharashtra,23830580,67.9,56.3,11.6,14.4,2.2,12.2,9.9,5.7,0.3,0.4,0.4,1.0,59.4,27.6,13.1
Manipur,554713,38.8,24.7,14.1,7.6,2.7,4.9,5.9,0.3,7.4,13.9,22.8,3.1,15.5,47.3,37.2
Meghalaya,538299,39.3,27.8,11.5,25.4,6.9,18.4,2.8,2.6,19.0,2.6,5.7,2.6,24.1,43.2,32.7
Mizoram,221077,58.7,39.4,19.3,4.7,2.0,2.7,0.8,0.9,18.4,7.7,1.8,6.9,31.2,46.7,22.2
Nagaland,399965,47.2,6.1,41.1,25.7,6.6,19.1,2.2,4.5,5.6,2.0,10.3,2.7,29.3,42.4,28.3
Odisha,9661085,13.8,10.0,3.9,19.5,2.2,17.3,41.4,20.0,1.8,1.7,0.9,0.8,22.4,42.2,35.4
Punjab,5409699,51.0,41.1,9.9,0.4,0.2,0.2,24.7,21.9,0.0,0.2,0.1,1.7,85.9,10.0,4.1
Rajasthan,12581303,40.6,32.0,8.5,10.8,1.2,9.6,25.3,12.2,0.1,0.8,5.9,4.3,35.0,39.0,25.9
Sikkim,128131,85.3,29.2,56.1,0.6,0.5,0.2,0.0,0.0,11.1,0.4,0.6,2.0,52.6,29.7,17.7
Tamil Nadu,18493003,79.8,55.8,23.9,5.1,1.2,3.8,4.6,8.2,0.2,0.2,0.5,1.4,34.9,58.1,7.0
Tripura,842781,33.2,20.3,12.9,27.4,2.9,24.5,18.1,16.3,1.9,1.8,0.5,0.9,37.1,30.5,32.4
Uttar Pradesh,32924266,27.3,20.2,7.1,4.0,0.6,3.4,64.9,2.9,0.0,0.1,0.1,0.7,51.9,36.0,12.1
Uttarakhand,1997068,68.2,53.9,14.3,1.1,0.7,0.4,22.0,2.0,1.1,0.9,0.7,4.0,58.3,26.6,15.2
West Bengal,20067299,25.4,21.0,4.4,6.0,0.7,5.4,50.1,16.7,0.5,0.3,0.2,0.8,38.6,34.7,26.6
Andaman & Nicobar Island,93376,85.0,68.8,16.2,7.3,0.7,6.6,0.0,0.5,1.2,2.6,1.5,1.9,60.6,27.0,12.4
Chandigarh,235061,96.7,93.7,3.0,0.1,0.1,0.0,1.8,0.9,0.0,0.0,0.1,0.5,86.1,11.7,2.2
Dadara & Nagar Havelli,73063,46.5,26.0,20.5,7.2,1.4,5.7,24.5,20.6,0.6,0.3,0.0,0.4,52.6,36.4,11.0
Daman & Diu,60381,75.2,54.6,20.6,0.7,0.5,0.2,5.5,18.1,0.0,0.0,0.0,0.5,76.4,22.1,1.5
NCT of Delhi,3340538,81.3,75.2,6.1,0.1,0.1,0.0,5.3,8.4,0.0,0.0,1.2,3.6,78.4,15.4,6.2
Lakshadweep,10703,20.3,9.1,11.1,71.7,6.9,64.9,2.5,0.0,0.0,0.0,0.4,5.1,83.7,14.3,2.0
Puducherry,301276,95.3,90.8,4.5,1.9,0.1,1.8,1.2,1.4,0.0,0.0,0.0,0.3,77.4,21.5,1.1
