State/UT,Primary - Boys,Primary - Girls,Primary - Total,Upper Primary - Boys,Upper Primary - Girls,Upper Primary - Total,Elementary - Boys,Elementary - Girls,Elementary - Total,Secondary - Boys,Secondary - Girls,Secondary - Total,Higher Secondary - Boys,Higher Secondary - Girls,Higher Secondary - Total
Andhra Pradesh,84.76,80.69,82.79,82.21,82.06,82.14,83.80,81.21,82.54,75.72,76.93,76.30,58.50,62.87,60.56
Arunanchal Pradesh,107.57,104.75,106.18,116.31,123.49,119.85,110.26,110.54,110.40,87.19,84.67,85.94,50.58,51.77,51.17
Assam,106.11,108.73,107.39,91.17,102.52,96.69,100.95,106.60,103.71,73.33,84.14,78.56,38.48,41.17,39.74
Bihar,94.68,101.78,98.08,94.26,115.27,103.86,94.55,105.82,99.87,70.09,84.57,76.71,28.48,29.24,28.82
Chhattisgarh,97.26,96.87,97.07,99.55,102.12,100.81,98.11,98.81,98.45,84.96,90.42,87.65,52.97,55.96,54.45
Goa,100.07,102.74,101.33,95.40,98.99,97.07,98.29,101.33,99.72,98.93,99.78,99.33,72.33,85.84,78.65
Gujarat,93.15,97.11,94.97,95.65,99.11,97.20,94.12,97.86,95.83,80.00,68.04,74.54,44.60,41.52,43.17
Haryana,93.06,94.93,93.90,89.67,100.88,94.40,91.77,97.06,94.08,86.04,86.73,86.34,61.03,60.45,60.78
Himachal Pradesh,97.14,98.77,97.91,102.18,103.90,102.99,99.04,100.69,99.82,104.29,103.37,103.86,91.33,92.70,91.97
Jammu & Kashmir,76.66,77.57,77.09,65.50,67.04,66.22,72.46,73.67,73.03,62.88,60.28,61.65,55.35,50.26,52.91
Jharkhand,97.09,96.16,96.64,87.84,96.17,91.81,94.00,96.16,95.04,60.55,66.79,63.50,36.35,37.88,37.06
Karnataka,104.17,103.21,103.71,92.83,92.98,92.90,99.89,99.42,99.66,84.01,84.92,84.44,39.24,44.83,41.91
Kerala,95.15,95.14,95.14,92.69,94.63,93.63,94.20,94.94,94.56,99.17,99.56,99.36,74.25,84.70,79.37
Madhya Pradesh,92.67,91.54,92.13,87.55,92.27,89.73,90.75,91.80,91.25,80.92,79.27,80.15,48.26,45.84,47.12
Maharashtra,97.77,97.20,97.50,96.71,101.03,98.69,97.37,98.60,97.94,93.77,89.41,91.74,71.63,69.67,70.72
Manipur,120.65,120.49,120.57,116.43,122.27,119.27,119.32,121.05,120.16,86.56,86.49,86.52,66.46,62.26,64.36
Meghalaya,128.28,129.89,129.07,119.13,137.31,128.04,125.52,132.12,128.76,76.71,89.92,83.25,37.73,43.47,40.56
Mizoram,117.73,113.54,115.68,128.11,126.85,127.50,120.89,117.53,119.25,93.83,98.01,95.88,52.23,57.05,54.60
Nagaland,80.82,82.59,81.67,87.54,93.64,90.44,82.94,86.02,84.42,58.98,64.87,61.80,35.87,36.74,36.30
Odisha,101.38,99.02,100.22,95.67,93.56,94.64,99.24,96.99,98.14,80.14,79.67,79.91,40.66,39.51,40.09
Punjab,97.09,102.10,99.31,93.69,103.14,97.72,95.78,102.48,98.71,86.92,87.30,87.08,71.10,73.71,72.24
Rajasthan,98.43,97.09,97.80,91.72,92.32,91.99,96.03,95.45,95.76,80.76,71.82,76.63,66.21,53.60,60.31
Sikkim,96.19,87.65,91.98,131.90,141.92,136.79,108.16,105.62,106.91,106.58,117.43,111.96,57.39,71.18,64.22
Tamil Nadu,101.98,102.03,102.01,91.82,95.16,93.42,97.87,99.30,98.56,91.26,96.71,93.87,75.58,92.52,83.69
Telangana,99.15,98.09,98.64,86.56,87.28,86.91,94.32,93.93,94.13,80.47,83.22,81.80,46.92,54.48,50.57
Tripura,101.94,102.85,102.38,124.00,128.95,126.40,108.98,111.12,110.02,109.46,115.20,112.26,43.17,40.50,41.89
Uttar Pradesh,83.91,90.85,87.16,66.30,80.66,72.74,77.58,87.37,82.09,68.78,66.72,67.82,60.36,57.46,58.96
Uttarakhand,96.27,96.57,96.41,85.90,87.67,86.73,92.34,93.18,92.74,83.91,84.93,84.40,75.40,78.90,77.07
West Bengal,96.47,96.06,96.27,89.72,103.47,96.34,93.97,98.76,96.30,69.36,88.24,78.56,47.25,54.91,50.89
Andaman & Nicobar Island,89.06,84.70,86.87,85.02,81.14,83.06,87.50,83.33,85.40,86.80,81.27,84.05,70.15,75.55,72.79
Chandigarh,76.27,84.92,80.07,90.46,102.51,95.60,81.62,91.33,85.84,87.17,92.98,89.65,80.30,87.30,83.17
Dadara & Nagar Havelli,85.36,80.21,82.87,93.91,89.04,91.57,88.48,83.41,86.03,93.73,88.24,91.16,48.23,56.29,51.76
Daman & Diu,80.50,88.26,83.96,77.42,85.87,81.13,79.38,87.41,82.94,66.34,83.16,73.26,25.93,52.46,34.61
NCT of Delhi,106.24,112.75,109.19,120.15,140.78,128.96,111.10,121.88,115.89,109.09,121.05,114.42,69.22,80.25,74.18
Lakshadweep,74.30,65.95,70.02,89.08,75.05,81.37,79.78,69.64,74.43,105.65,99.13,102.26,92.52,102.42,97.87
Puducherry,81.56,90.33,85.57,80.23,90.23,84.79,81.06,90.29,85.27,83.04,92.88,87.51,63.89,86.61,74.19
