State/UT,Total districts in the state,No. Of districts under NPPCF,Districts under NPPCF
Andhra Pradesh,13,9,"Nellore, Guntur, Prakasam, Ananthpur, Kurnool, Krishna, Chitoor,Visakhapatnam ,Srikakulam"
Telangana,30,9,"Mehbbobnagar, Nalgonda, Karimnagar,Jagityal,Sircilla, Suryapet, Yadagiri,Wernaparthy, Nagarkurnool"
Assam,27,6,"Nagaon, Kamrup, Karbi Anglong, Dhubri, Nalbari,Karmganj"
Bihar,38,11,"Nawada,  Banka,  Aurangabad,  Bhagalpur,  Gaya, Jammui,  Nalanda,  Shekhpura,  Kaimur,  Munger, Rohtas"
Chhattisgarh,27,5,"Balod, Kanker, Kondagaon, Korba, Mahasamund"
Gujarat,33,4,"Jamnagar, Sabarkantha, Vadodara, Banaskantha"
Haryana,21,2,"Mehendragarh, Mewat"
Jammu & Kashmir,22,1,Doda
Jharkhand,24,13,"Palamu,  Garhwa,  Chatra,  Hazaribagh,  Ranchi, Pakur,  Sahebganj,  Ramgarh,  Jamtara,  Simdega, Dhanbad, Giridih, Godda"
Karnataka,30,19,"Ballary, Mysore, Chikballalpur, Koppal, Davangere, Tumkur, Bagalkote, Bengaluru(Urban), Bengaluru (Rural),Bijapur, Raichur, Chitradurga, Gadag, Gulbarga, Hassan, Kolar, Mandya, Ramanagara, Shimoga"
Kerala,14,2,"Palakkad, Alapuzha"
Madhya Pradesh,51,15,"Ujjain,  Chindwada,  Mandla,  Dhar,  Seoni,  Betul, Jhabua,  Raigarh, Sehore,  Alirajpur,  Dindori, Khargoan, Raisen, Shajapur, Ratlam"
Maharashtra,34,7,"Nanded,  Chandrapur, Latur,  Washim, Yavatmal, Beed, Nagpur"
Rajasthan,33,30,"Nagaur,  Ajmer,  Bhilwara,  Churu (Ratangarh) Dausa,  Dungarpur,  Rajsamand,  Tonk,  Bikaner, Jalore, Jaisalmer, Jodhpur, Jaipur,Pali, Sikar, Udaipur,Swaimadhopur, Banswara, Karauli, Chittaurgarh, Ganganagar, Jhalawar, Jhunjhunu, Barmer, Alwar, Bharatpur, Kota, Sirohi, Bundi,Pratapgarh"
Odisha,30,3,"Nayagarh, Angul, Nuapada"
Punjab,22,3,"Sangrur, Firozepur, Patiala"
Tamil Nadu,31,1,Dharmapuri
Uttar Pradesh,75,10,"Unnao, Rae Bareli, Pratapgarh, Firozabad, Mathura, Sonbhadhra, Ghazipur, Jhansi, Varanasi, Agra"
West Bengal,19,6,"Bankura, Purulia, Birbhum, D. Dinajpur, Maldha, Uttar Dinajpur"
