State/UT,"No. of 
ANC Sites 
in   2016-
17",2004,2005,2006,2007,2009,2011,2013,2015,2017
Andhra Pradesh,38,1.7,1.67,1.41,1.07,1.22,0.76,0.59,0.33,0.41
Arunanchal Pradesh,8,0.2,0.46,0.27,0,0.46,0.21,0.26,0.06,0
Assam,27,0.14,0,0.04,0.11,0.13,0.09,0.16,0.18,0.16
Bihar,31,0.22,0.38,0.36,0.34,0.3,0.17,0.33,0.37,0.38
Chhattisgarh,26,0,0.32,0.31,0.29,0.41,0.43,0.51,0.41,0.35
Goa,3,1.13,0,0.5,0.18,0.68,0.33,0.25,0.08,0.08
Gujarat,35,0.19,0.38,0.55,0.34,0.44,0.46,0.5,0.56,0.44
Haryana,19,0,0.19,0.17,0.16,0.15,0.19,0.17,0.25,0.14
Himachal Pradesh,8,0.25,0.22,0.06,0.13,0.51,0.04,0.04,0,0.09
Jammu & Kashmir,15,0.08,0,0.04,0.05,0,0.06,0.07,0.05,0.02
Jharkhand,25,0.05,0.14,0.13,0.13,0.38,0.45,0.19,0.18,0.18
Karnataka,62,1.52,1.49,1.12,0.86,0.89,0.69,0.53,0.36,0.38
Kerala,14,0.42,0.32,0.21,0.46,0.21,0.13,0.03,0.05,0.05
Madhya Pradesh,51,0.38,0.27,0.26,0.25,0.26,0.32,0.14,0.13,0.11
Maharashtra,76,0.97,1.07,0.87,0.76,0.61,0.42,0.4,0.32,0.26
Manipur,15,1.66,1.3,1.39,1.31,0.54,0.78,0.64,0.6,0.47
Meghalaya,9,0,0,0.09,0,0.04,0.05,0.26,0.16,0.73
Mizoram,9,1.5,0.81,0.94,0.85,0.72,0.4,0.68,0.81,1.19
Nagaland,13,1.85,1.97,1.36,1.1,1.14,0.66,0.88,1.29,0.82
Odisha,32,0.5,0.6,0.55,0.23,0.73,0.43,0.31,0.24,0.28
Punjab,22,0.44,0.25,0.2,0.12,0.31,0.26,0.37,0.32,0.11
Rajasthan,35,0.23,0.5,0.29,0.19,0.19,0.38,0.32,0.32,0.29
Sikkim,5,0,0.25,0.1,0.09,0,0.09,0.19,0.13,0.05
Tamil Nadu,71,0.81,0.54,0.54,0.58,0.35,0.38,0.36,0.27,0.27
Telangana,32,,,,,,,,0.39,0.28
Tripura,4,0.25,0,0.42,0.25,0,0,0.19,0.19,0.56
Uttarakhand,16,0,0,0.11,0.06,0.22,0.25,0.27,0.12,0.13
Uttar Pradesh,85,0.44,0.15,0.25,0.08,0.18,0.21,0.2,0.21,0.22
West Bengal,23,0.43,0.89,0.38,0.4,0.17,0.13,0.19,0.11,0.13
Andaman & Nicobar Island,4,0,0,0.17,0.25,0.06,0.13,0,0.06,0.06
Chandigarh,1,0.5,0,0.25,0.25,0.25,0,0,0.25,0
Dadara & Nagar Havelli,1,0,0.25,0,0.5,0,0,0,0,0.5
Daman & Diu,2,0.38,0.13,0,0.13,0.38,0.13,0.13,0.25,0
NCT of Delhi,10,0.31,0.31,0.1,0.2,0.2,0.3,0.4,0.25,0.38
Puducherry,2,0.25,0.25,0.25,0,0.25,0.13,0,0.13,0
