City,Below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above,Total
"Agra
",0,4,36,30,5,0,75
Ahmedabad,0,21,214,238,88,34,595
Allahabad,0,3,23,21,16,1,64
Amritsar,0,0,9,17,5,1,32
Asansol,0,13,125,38,8,9,193
Aurangabad,0,0,63,46,22,5,136
Bengaluru,6,49,438,479,199,66,1237
Bhopal,0,11,67,95,62,47,282
Chandigarh City,1,8,22,25,10,3,69
Chennai,9,27,493,635,385,104,1653
Coimbatore,0,8,75,140,79,34,336
Delhi (City),21,65,425,343,123,38,1015
Dhanbad,0,2,12,10,4,0,28
Durg-Bhilainagar,1,13,111,106,42,0,273
Faridabad,7,6,64,77,26,7,187
Ghaziabad,4,9,61,39,16,7,136
Gwalior,2,2,57,56,21,14,152
Hyderabad,6,18,165,205,99,45,538
Indore,3,26,127,113,66,13,348
Jabalpur,0,6,89,28,1,1,125
Jaipur,0,8,110,96,35,4,253
Jamshedpur,0,14,24,21,11,4,74
Jodhpur,2,0,35,34,13,3,87
Kannur,1,0,9,26,49,29,114
Kanpur,0,12,56,57,26,3,154
Kochi,1,3,34,53,64,32,187
Kolkata,1,4,52,95,52,26,230
Kollam,0,11,64,67,71,94,307
Kota,0,15,46,9,3,1,74
Kozhikode,0,5,24,46,37,27,139
Lucknow,1,7,63,76,15,3,165
Ludhiana,1,3,30,38,17,3,92
Madurai,1,5,56,75,36,17,190
Malappuram,0,2,12,10,10,5,39
Meerut,0,0,0,1,0,0,1
Mumbai,9,37,252,247,114,69,728
Nagpur,2,8,140,124,70,17,361
Nasik,1,3,59,75,42,9,189
Patna,0,7,8,9,4,0,28
Pune,5,22,222,236,113,39,637
Raipur,2,7,62,60,31,9,171
Rajkot,3,6,108,90,36,12,255
Ranchi,0,0,0,0,0,0,0
Srinagar,0,0,1,2,0,0,3
Surat,4,12,189,157,73,28,463
Thiruvananthapuram,0,10,43,63,73,43,232
Thrissur,1,1,21,44,63,33,163
Tiruchirapalli,1,2,41,53,23,6,126
Vadodara,0,5,47,52,36,10,150
Varanasi,0,5,29,23,14,10,81
Vasai Virar,3,11,31,47,22,5,119
Vijayawada,0,14,65,98,37,13,227
Vishakhapatnam,0,4,46,49,23,5,127
