2016,2015,2014,2013,2012,2011,2010,2009,2008,State/UT
10,4,2,7,8,7,6,15,0,Andhra Pradesh
0,0,0,0,0,0,0,0,0,Arunanchal Pradesh
0,1,0,0,0,0,0,0,0,Assam
0,0,1,0,1,1,2,5,1,Bihar
1,4,5,15,8,21,1,10,7,Chhattisgarh
0,0,0,0,0,0,1,0,0,Goa
1,1,1,0,0,0,0,4,0,Gujarat
1,5,3,0,0,5,7,3,4,Haryana
0,2,0,0,0,0,1,1,0,Himachal Pradesh
0,1,1,0,0,1,0,2,0,Jammu & Kashmir
0,0,4,1,0,1,3,1,1,Jharkhand
2,0,11,4,3,1,2,11,13,Karnataka
0,4,0,0,0,0,1,0,0,Kerala
14,25,14,8,17,38,20,51,22,Madhya Pradesh
7,7,12,6,11,12,3,18,3,Maharashtra
0,0,0,0,0,0,0,0,0,Manipur
1,0,0,1,0,0,0,2,0,Meghalaya
0,0,0,0,0,0,0,0,0,Mizoram
0,0,0,0,0,0,0,0,0,Nagaland
8,3,8,7,6,15,8,29,2,Punjab
14,18,33,8,3,13,7,14,4,Rajasthan
0,0,0,0,1,0,0,0,2,Sikkim
2,2,0,13,6,0,7,9,20,Tamil Nadu
6,2,,,,,,,,Telangana
0,0,6,0,0,0,0,1,0,Tripura
21,9,0,10,14,12,31,9,60,Uttar Pradesh
0,0,11,0,0,0,0,0,0,Uttarakhand
0,0,0,0,1,0,0,0,1,West Bengal
89,88,115,80,79,127,100,185,140,Uttar Pradesh
0,0,0,0,0,0,0,0,0,Andaman & Nicobar Island
0,0,0,0,0,0,0,0,0,Chandigarh
0,0,0,0,0,0,0,0,0,Dadara & Nagar Havelli
0,0,0,0,0,0,0,0,0,Daman & Diu
4,3,6,2,2,5,0,1,0,NCT of Delhi
0,0,0,0,0,0,0,0,0,Lakshadweep
0,0,0,0,0,0,0,0,0,Puducherry
