Zone / PU,No. of Doctors Working,No. of Doctors with Speciality Degree/Diploma,No. of Doctors Super Speciality Degree,No. of Dental Surgeon Working *,No. of Auxiliary Nurse and Mid - wives (ANM) working **,No. of Nurse and Mid - wives (RN & RM) working **,No. of Pharmacist Working **
Central Railway,199,95,0,4,0,370,140
Eastern Railway,213,119,5,6,0,466,131
East Central Railway,139,73,0,9,0,258,95
East Coast Railway,74,29,0,0,0,134,57
Northern Railway,254,143,0,7,0,179,193
North Central Railway,98,39,0,2,0,118,76
North East Railway,95,46,2,4,0,224,85
North Frontier Railway,173,65,0,10,1,323,126
North Western Railway,117,48,0,4,1,190,107
Southern Railway,207,97,12,3,,497,161
"South East Central 
Railway",82,31,1,5,1,93,42
South Eastern Railway,152,54,1,2,0,388,91
South Central Railway,156,54,2,1,0,297,126
South Western Railway,65,38,0,2,6,116,56
Western Railway,209,80,2,2,0,328,153
West Cental Railway,78,31,0,1,0,145,78
Intergral Coach Factory,21,15,1,0,30,0,14
Rail Coach Factory,12,4,0,1,0,30,15
"Chittaranjan Locomotive 
Works",24,8,0,1,1,71,19
Diesal Locomotive Works,14,12,0,0,1,38,16
"Diesel  Modernisation 
Works",8,3,0,1,0,9,6
Rail Wheel Factory,9,7,0,0,0,12,4
"Research Design and 
Standards Organization",7,4,0,0,11,0,4
Railway Boad,3,2,0,0,,0,0
MCF/Raebareli,13,5,0,1,0,11,8
Metro/Kolkata,9,7,0,1,3,14,5
NAIR/BRC,1,0,0,0,0,0,0
RWP/Bela,3,,0,0,0,4,1
Total,2435,1109,26,67,55,4315,1809
